id	targets	expectation	hex	note
empty_module	parse_module,parse_validate	valid	0061736d01000000	minimal valid module header
const_i32_export	parse_module,parse_validate	valid	0061736d010000000105016000017f030201000707010372756e00000a06010400412a0b	defined function, export, code, and i32 constant
multi_value_export	parse_module,parse_validate	valid	0061736d010000000106016000027f7e030201000707010372756e00000a08010600410142020b	ordered i32/i64 multi-value function result
memory_data	parse_module,parse_validate	valid	0061736d0100000005030100010b0a010041040b047761736d	memory limits plus active data segment
global_i32	parse_module,parse_validate	valid	0061736d010000000606017f0041000b	defined immutable i32 global initializer
table_element_start	parse_module,parse_validate	valid	0061736d01000000010401600000030201000404017000010801000907010041000b01000a040102000b	funcref table, active element, start function, and code
multi_result_import	parse_module,parse_validate	valid	0061736d010000000106016000027f7e020c0103656e7604706169720000	function import with two numeric results
bad_version	parse_module,parse_validate	parse-error	0061736d00000000	invalid WebAssembly version
truncated_section_size	parse_module,parse_validate	parse-error	0061736d010000000180	truncated u32 LEB section size
duplicate_type_section	parse_module,parse_validate	parse-error	0061736d01000000010100010100	duplicate standard type section
function_without_code	parse_module,parse_validate	validation-error	0061736d0100000001040160000003020100	function declaration without matching code body
export_function_oob	parse_module,parse_validate	validation-error	0061736d010000000707010372756e0000	function export references missing function index 0
two_memories	parse_module,parse_validate	validation-error	0061736d0100000005050200010001	validly encoded two-memory module outside current single-memory subset
